tweet_id,created_at,keyword_search,text,language
1627713805697548290,2023-02-20T16:56:27.000Z,ukraine+energy,"@SkierTrev Actually, puppet, that's Rick Perry, trumps energy secretary who shook down Ukraine energy companies for obscene 50 year contracts for his donors while his boss was making the "" perfect phone call ""
Sthu https://t.co/TdKLeU6gA7",en
1627704802598653954,2023-02-20T16:20:40.000Z,ukraine+energy,"@RepMTG He's where the corruption is. No coincidence that son was on payroll of the Ukraine energy company.  No coincidence that the laptop files mentioned 10% to the big guy.
What's surprising is all his defenders working for free.",en
1627700061642661888,2023-02-20T16:01:50.000Z,ukraine+energy,@7News Don’t worry we’re paying off corrupt Ukrainian officials’ pensions so they don’t rat on the democrats elite children that held sweet positions in the Ukraine energy companies. Aid will get there! Just not to American taxpayers….,en
1627698130463641600,2023-02-20T15:54:10.000Z,ukraine+energy,"Russia targets Netherlands' North Sea infrastructure, says Dutch intelligence agency via @Reuters 

https://t.co/P3cQoMW8LH 

#Netherlands #EU #NATO #UN #Ukraine #energy #infrastructure #RegionalSecurity #threats #war #Russia #Belarus #Iran",en
1627689975104823296,2023-02-20T15:21:45.000Z,ukraine+energy,"@SkyNews Who ever wins.
Ukraine energy supplies will be pillaged.",en
1627684393841225729,2023-02-20T14:59:35.000Z,ukraine+energy,"Energy Community Secretariat introduces Ukraine Energy Market Observatory
https://t.co/RfbruBMBiL

Call for Papers OGEL Special Issue on The Impact of the War in Ukraine on the Energy Sector
https://t.co/pbAg4VVnId https://t.co/Nmqj1F0zBX",en
1627677879453745153,2023-02-20T14:33:41.000Z,ukraine+energy,"@DemchenkovY @KadriSimson @Artur_Lorkowski @lgewessler @Ener_Community @UNDPUkraine @IEA @fbirol @OlekKorn @SecGranholm @Chris_Politis Unfortunately, this is true. But our organization wants to make Ukraine energy independent. You can help our country by supporting our project",en
1627673158923743232,2023-02-20T14:14:56.000Z,ukraine+energy,"@JoJoFromJerz I prefer the right side. Ukraine is corrupt. Biden is corrupt. It makes sense. 

Hunter didn’t get appointed to a Ukraine energy board for his vast expertise, honey. 

And yes, please take “honey” in the derogatory fashion it was meant.",en
1627671543789547520,2023-02-20T14:08:31.000Z,ukraine+energy,@ChrisCuomo There is also the millions the Biden family made in Ukraine. Look at the timeline. Hunter’s business partner visits VP Biden. Biden flies to Ukraine three days later.  Business partner and Hunter each get $80k/month board seats immediately after with corrupt Ukraine energy co.,en
1627665843470364672,2023-02-20T13:45:52.000Z,ukraine+energy,"@POTUS Joe Biden protecting his special interests! 

Hinter Biden needs his Ukraine energy board job back.",en
1627665625127452672,2023-02-20T13:45:00.000Z,ukraine+energy,"A year into Russia's war in Ukraine: Energy crisis deepens, but renewables emerge stronger
https://t.co/WJtmPRLaKl https://t.co/OeCuxKkZoX",en
1627653165171503106,2023-02-20T12:55:29.000Z,ukraine+energy,"Greek PM to discuss situation in Ukraine, energy, Turkey and NATO with Blinken - #brussels #istanbul #ukraine #belgium #energy #turkey #ankara #nato #kyiv https://t.co/pXQ7zuDZ9x",en
1627652379729440768,2023-02-20T12:52:22.000Z,ukraine+energy,The Forgotten Potential of Ukraine’s Energy Reserves https://t.co/GmOPEZHsnM,en
1627652271247958017,2023-02-20T12:51:56.000Z,ukraine+energy,Energy security – Ukraine energy profile – Analysis - IEA https://t.co/fAJbkWQyFC,en
1627651483146629120,2023-02-20T12:48:48.000Z,ukraine+energy,Russia Controls $12.4 Trillion of Ukraine's Energy and Metal Deposits https://t.co/19FwLxVkWo,en
1627649820163964930,2023-02-20T12:42:12.000Z,ukraine+energy,"@krassenstein All I see is a guy who blew up a natural gas pipeline so other energy corps, including the Ukraine Energy company his crackhead son worked for can make more money off Europe instead of Putin",en
1627632327986749440,2023-02-20T11:32:41.000Z,ukraine+energy,"@lsferguson He is compromised by his and his sons money laundering involvement in Ukraine energy sector which was a threat to Putin in the first place! This man cost ALL Americans bank, impeach Joe and jail the Biden’s",en
1627632178002800641,2023-02-20T11:32:05.000Z,ukraine+energy,"A year into Russia's war in Ukraine: #Energy crisis deepens, but ... - Anadolu Agency https://t.co/F9laVILdqa",en
1627627218775015424,2023-02-20T11:12:23.000Z,ukraine+energy,"A year into #Russia's #war in #Ukraine: #Energy #crisis deepens, but #renewables emerge #stronger https://t.co/15RZRFIXqS",en
1627615674976567298,2023-02-20T10:26:31.000Z,ukraine+energy,"#Soaring #energy costs triggered by the #Russia - #Ukraine conflict could push up to 141-million more people around the globe into #extreme #poverty, a new study reveals ~ https://t.co/NbbD3jjEOy",en
1627605119335292928,2023-02-20T09:44:34.000Z,ukraine+energy,"(EXCLUSIVE) - One year after Russia's war in Ukraine began, the global energy crisis has worsened, and renewables have emerged as a viable solution to energy security, with unprecedented growth predicted over the next five years 

https://t.co/1i4oABqNAn https://t.co/7ys8SGvQ3v",en
1627601033693102080,2023-02-20T09:28:20.000Z,ukraine+energy,"@LilyEnglandUK1 @GarlandNixon @DagnyTaggart963 Most of that was outlined in black and white in ""Countering America's Adversaries Through Sanctions Act"" that US Congress passed in 2018.

Talks about Ukraine, Energy markets, Russia, Nordstream, etc etc...

https://t.co/L6JQZL5uAw",en
1627598796346519553,2023-02-20T09:19:27.000Z,ukraine+energy,"The article above also blames Russia for the Moldova's energy crisis, claiming that Russia has withheld gas supplies. Here's an interesting article about Russia supposedly doing this: https://t.co/87OZBPGQSY",en
1627597263924084736,2023-02-20T09:13:21.000Z,ukraine+energy,Energy industry with open letter on upcoming reform of the EU Electricity Market Design  #windenergy #Vattenfall #energyindustry #electricitymarketdesign #proposals #awareness #dossier #Ukraine #energycrisis #InflationReductionAct https://t.co/hMli5MyMf9,en
1627588072924749824,2023-02-20T08:36:50.000Z,ukraine+energy,"@PHILHEATH His son was getting paid tens of millions of dollars for no show energy jobs he knows nothing about in the Ukraine energy sector.

You people need to wake up, he's using you the American peoples tax money to not only make more money but hide all this corruption.",en
1627574991939072003,2023-02-20T07:44:51.000Z,ukraine+energy,"World news,war in Ukraine,energy crisis, food shortages around the world.  https://t.co/QEvbvOKdSS",en
1627496387913912320,2023-02-20T02:32:30.000Z,ukraine+energy,Power to Ukraine https://t.co/pLwiB34zLD,en
1627493500295217152,2023-02-20T02:21:02.000Z,ukraine+energy,"PUTIN WAS AFRAID UKRAINE WOULD JOIN NATO; THOUGHT HE COULD INVADE UKRAINE, WAR WOULD LAST 3 DAYS; NOTHING WOULD HAPPEN TO RUSSIA.
PUTIN'S DESPERATE FOR UKRAINE'S STRATEGIC LOCATION; HE WANTS ACCESS TO THE BALTIC SEA;  ALL UKRAINE ENERGY RESERVES.
PUTIN'S NOT AN INTELLIGENT MAN.",en
1627492285414887424,2023-02-20T02:16:12.000Z,ukraine+energy,"@AverageJoeBe @johnzee451 @harryjsisson No clue what fox reports, but it's not like a conspiracy or anything. a drug addicted delinquent was given an executive position at a Ukraine energy company (Burisma), an area he had no background on. He even admitted on TV that if his name weren't biden he wouldn't have that job",en
1627484261971292160,2023-02-20T01:44:19.000Z,ukraine+energy,"@DavidAFrench Plenty of anti Ukraine energy on the far left too, probably bc the far left and right have pretty much the same worldview",en
1627481291955359744,2023-02-20T01:32:31.000Z,ukraine+energy,@donsilsby74 @AshaRangappa_ @petestrzok Why would a Ukraine energy company employ a crackhead son of a VP?,en
1627394354808602625,2023-02-19T19:47:04.000Z,ukraine+energy,"Putin fails to spark energy meltdown with brutal strikes in Ukraine https://t.co/LFknHwiBNk Ukraine must Win &amp; defeat Putin &amp; their country saved &amp; Ukrainians  saved &amp; safe too.
We stand with Ukraine .xx.",en
1627372774921588739,2023-02-19T18:21:19.000Z,ukraine+energy,"@elizabeastt @TooTallo_o Yeah A Ukraine energy company hired a crack head from the US, (Hunter Biden) because why? It's all on the up and up. Man you people are freaking shot. Their is no hope for you guys",en
1627371491116318721,2023-02-19T18:16:13.000Z,ukraine+energy,@chinahand Imo the attacks on Ukraine energy infrastructure are intended to communicate to EU that Russia will totally depopulate the country if demands not met.,en
1627362973651177472,2023-02-19T17:42:22.000Z,ukraine+energy,"@aessolarmidwest It's great that most of them switch to solar batteries. 
Our organization wants to make Ukraine energy independent. You also want to help, you can support our project.",en
